x[m], y[m] 
481503427249.0893,15015692527.409237
481503065474.1192,15015661570.25979
481502800822.8367,15015639377.658249
481502568546.1414,15015620106.575409
481502636689.07574,15015622125.012217
481502822736.1128,15015639364.832317
481502505494.07416,15015612351.265892
481502430085.23254,15015607264.296892
481502834329.0347,15015639725.604675
481502919859.6764,15015648129.36429
481502736640.1516,15015630299.796906
481503024136.75714,15015657492.509172
