x[m], y[m], z[m] 
3657298.0931444927,1406215.117995699,4999124.840695404
3657298.1031369404,1406215.1080216658,4999124.837719856
3657298.1131287776,1406215.0980473978,4999124.837737241
3657298.123120409,1406215.0880730508,4999124.838752266
3657298.1131440173,1406215.118011552,4999124.84075189
3657298.1071402207,1406215.112017793,4999124.836737853
3657298.1181328255,1406215.1030425366,4999124.836759146
3657298.126123304,1406215.0920682282,4999124.839762727
3657298.1081441366,1406215.1180075887,4999124.840737769
3657298.107139608,1406215.1120175575,4999124.839730785
3657298.1081483024,1406215.1229987643,4999124.839745554
3657298.1061392226,1406215.1120166075,4999124.841723247
