x[m], y[m], z[m] 
-0.18999243411387767,21.983801674872016,-6378081.052135112
-0.1899939956330022,21.98380151842557,-6378081.0521390885
-0.18999873783620158,21.983801355656052,-6378081.0521509
-0.1900045402690943,21.98380119077885,-6378081.052165324
-0.190007843281347,21.983801626363064,-6378081.0521733025
-0.18999720218536256,21.983801566237478,-6378081.052147029
-0.1900030110861151,21.983801414894018,-6378081.052161478
-0.19000909682311884,21.983801236800833,-6378081.052176578
-0.19000399098947965,21.983801638490302,-6378081.052163755
-0.19000038287509385,21.983801559914415,-6378081.052154863
-0.19000441194942824,21.98380170985551,-6378081.052164785
-0.1900017328723531,21.98380155812448,-6378081.052158177
