x[m], y[m], z[m] 
-0.04262235422258241,21.983810678796647,-6378188.829516049
-0.042623915933205324,21.983810522350158,-6378188.829517036
-0.04262865871478362,21.983810359580595,-6378188.82951977
-0.042634461853220215,21.983810194703345,-6378188.829523086
-0.04263776526397121,21.9838106302877,-6378188.829524742
-0.042627122879193964,21.9838105701621,-6378188.829518838
-0.04263293248630707,21.983810418818592,-6378188.829522168
-0.04263901896337492,21.983810240725344,-6378188.829525619
-0.042633912505229424,21.983810642414934,-6378188.829522568
-0.04263030395085689,21.98381056383902,-6378188.829520583
-0.04263433351605182,21.983810713780173,-6378188.829522793
-0.04263165411251999,21.98381056204908,-6378188.829521313
