n[m], e[m], u[m] 
4034732.602,1968041.866,3135607.886
4034732.604,1968041.849,3135607.880
4034732.607,1968041.832,3135607.876
4034732.610,1968041.814,3135607.874
4034732.598,1968041.856,3135607.886
4034732.601,1968041.852,3135607.880
4034732.603,1968041.835,3135607.877
4034732.608,1968041.818,3135607.877
4034732.599,1968041.859,3135607.886
4034732.602,1968041.852,3135607.883
4034732.596,1968041.865,3135607.887
4034732.603,1968041.852,3135607.886
