phi[deg], lam[deg], h[m] 
52.097248634255756,21.03153333279777,31.717010193504393
52.09724857695366,21.031533144230153,31.718172324821353
52.09724853621436,21.031532955662534,31.72170161921531
52.09724850099599,21.031532767094923,31.726019967347383
52.09724850187878,21.031533228061544,31.72847816813737
52.097248534777655,21.031533177762707,31.720558742061257
52.09724848487459,21.03153299757823,31.72488190419972
52.097248476480694,21.031532805864288,31.729411096312106
52.097248534973026,21.0315332542456,31.72561117541045
52.09724855134045,21.031533177762707,31.722925905138254
52.0972485167275,21.03153332234535,31.725924466736615
52.09724856900117,21.031533182999517,31.723930615000427
