n[m], e[m], u[m] 
0.0,0.0,0.0
-0.0063760981368443746,-0.012922647455357454,0.0011621309617612272
-0.0109092276735531,-0.025845295040017098,0.004691425658972083
-0.014828034308282445,-0.03876794241974431,0.009009774125138427
-0.014729803570284207,-0.007177633992923028,0.011467975313434213
-0.011069091163181902,-0.010624642142733365,0.0035485486669519267
-0.016621887863888254,-0.022972788312112257,0.00787171125339167
-0.017555890613539998,-0.03611105533060911,0.012400902381754245
-0.01104735276647868,-0.0053832255428699115,0.00860098154393576
-0.009226122156277574,-0.010624642142733365,0.0059157120713570375
-0.013077562177519243,-0.0007163103956934476,0.008914273387771602
-0.00726098547166958,-0.010265760386327785,0.0069204226381725294
