phi[deg], lam[deg], h[m] 
52.09727221932674,21.03153333279777,141.39865200128406
52.09727216202465,21.031533144230153,141.39981413073838
52.09727212128534,21.031532955662534,141.4033434232697
52.097272086066965,21.031532767094923,141.40766177140176
52.09727208694975,21.031533228061544,141.41011997219175
52.097272119848654,21.031533177762707,141.40220054611564
52.097272069945575,21.03153299757823,141.40652370732278
52.097272061551664,21.031532805864288,141.41105289757252
52.097272120043996,21.0315332542456,141.40725297946483
52.097272136411426,21.031533177762707,141.40456771105528
52.097272101798474,21.03153332234535,141.40756626985967
52.09727215407214,21.031533182999517,141.40557242091745
