x[m], y[m] 
437788132664.30884,13935385922.723894
437787803600.8073,13935357321.978271
437787562774.7197,13935336815.410425
437787351361.15216,13935319006.906704
437787414219.5374,13935320898.780106
437787583140.93475,13935336816.977377
437787294553.0508,13935311858.682356
437787225648.4056,13935307149.216227
437787593830.67084,13935337154.758045
437787671378.1976,13935344911.136946
437787505220.10034,13935328454.00408
437787766125.3469,13935353558.447077
