phi[deg], lam[deg], h[m] 
52.09688353134336,21.03153333279777,13413.971977387555
52.096883474041746,21.031533144230153,13413.973118872382
52.09688343330294,21.031532955662534,13413.976633486338
52.096883398085076,21.031532767094923,13413.9809391452
52.09688339896801,21.031533228061544,13413.983397665434
52.09688343186619,21.031533177762707,13413.975490093231
52.096883381963735,21.03153299757823,13413.979795273393
52.096883373570165,21.031532805864288,13413.984321441501
52.096883432061844,21.0315332542456,13413.98054259643
52.096883448429004,21.031533177762707,13413.977863223292
52.09688341381647,21.03153332234535,13413.98084931355
52.09688346608965,21.031533182999517,13413.978874296881
