n[m], e[m], u[m] 
0.0,0.0,0.0
-0.0063760986152015635,-0.012922647455357454,0.0011621283372240233
-0.01090922960464239,-0.025845295040017098,0.0046914211685024024
-0.014828038016895136,-0.03876794241974431,0.009009768021604537
-0.014729808290744606,-0.007177633992923028,0.011467969250333962
-0.011069092623838792,-0.010624642142733365,0.0035485441106791406
-0.01662189110405,-0.022972788312112257,0.007871704411469732
-0.017555895718012707,-0.03611105533060911,0.012400895155376604
-0.011047356306824007,-0.0053832255428699115,0.008600976996610537
-0.009226124591309236,-0.010624642142733365,0.005915708273689152
-0.013077565846821957,-0.0007163103956934476,0.008914268004769133
-0.007260988320261567,-0.010265760386327785,0.006920419649396461
